 ,#,Player,P,G,A,YC,RC
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",1,Henrik Mohren,14,10,2,2,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",2,Ian Flynn,14,8,3,1,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",3,Tobias Maurer,14,5,4,5,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",4,Justin Powell,14,1,2,0,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",6,Randy Thomas,13,4,4,0,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",7,Aaron Green,14,5,2,0,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",8,Scott Bennett,12,0,2,1,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",9,Evan Clark,13,3,9,1,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",10,Mitchel Searcy,13,0,1,1,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",11,Jason Temple,14,0,0,2,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",12,Christian Kortig,13,1,2,1,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",13,Swen Unger,14,0,1,3,1
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250050417.jpg"">",14,Marcel Bergmann,14,7,4,2,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",18,Jack Rahman,14,1,3,0,0
"<img src=""http://img.uefa.com/imgml/TP/players/24/2012/324x324/250007232.jpg"">",19,Logan Gould,10,2,3,1,0
